,nhpd_property_id,parcel_number,HUD Property ID,HUD Subsidy ID,NHPD Property ID,NHPD Subsidy ID,Subsidy Status,Subsidy Name,Subsidy Subname,Start Date,End Date,Assisted Units,Property Name,Street Address,City,State,Zip Code,Longitude,Latitude,Owner Name,Owner Type,Manager Name,Manager Type,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,Target Population,Earliest Construction Date,Latest Construction Date,Rent to FMR Ratio,Known Total Units,Renewal Type Name,Inactive Status Description,Construction Type,Unpaid Principal Balance,Renewal Name,Renewal ID,SOA Code
10,1083769,111228800,,PAA1988500,1083769,350dd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,GARNET HOUSE,2753 N GARNET ST,PHILADELPHIA,PA,19132,-75.16262,39.996105,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
11,1083769,381022900,,PAA1988500,1083769,350dd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,GARNET HOUSE,2753 N GARNET ST,PHILADELPHIA,PA,19132,-75.16262,39.996105,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
12,1162326,192324800,,PAA2000170,1162326,8144bbc8-dffa-eb11-83c6-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2000,2030-01-01,42,TAINO GARDENS,539 W LEHIGH AVE,PHILADELPHIA,PA,19122,-75.141799,39.979,JARDINES DE BORINQUEN INC,,,,0,2,40,Family,,,,42,,,New Construction,,,,
13,1083636,381044300,,PAA1988175,1083636,9ca7e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,2956 N TAYLOR ST,2956 N TAYLOR ST,PHILADELPHIA,PA,19132,-75.171142,40.000137,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,,,,,
14,1083636,381044300,,PAA1988180,1083636,a0a7e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,2956 N TAYLOR STREET,2956 N TAYLOR ST,PHILADELPHIA,PA,19132,-75.171143,40.000137,,,,,,,,,,,,1,,Non-programmatic,,,,,
15,1084303,886701100,,PAA1997175,1084303,e142bec4-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1997,2027-01-01,26,ROWAN HOUSE,325 N 39TH ST,PHILADELPHIA,PA,19104,-75.199745,39.960037,PEOPLES EMERGENCY CENTER,Non-Profit,,,26,,,Family,,,,26,,,Acquisition and Rehab,256308,,,
16,1084303,886701000,,PAA1997175,1084303,e142bec4-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1997,2027-01-01,26,ROWAN HOUSE,325 N 39TH ST,PHILADELPHIA,PA,19104,-75.199745,39.960037,PEOPLES EMERGENCY CENTER,Non-Profit,,,26,,,Family,,,,26,,,Acquisition and Rehab,256308,,,
17,1084303,885996120,,PAA1997175,1084303,e142bec4-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1997,2027-01-01,26,ROWAN HOUSE,325 N 39TH ST,PHILADELPHIA,PA,19104,-75.199745,39.960037,PEOPLES EMERGENCY CENTER,Non-Profit,,,26,,,Family,,,,26,,,Acquisition and Rehab,256308,,,
18,1083816,371068400,,PAA1991500,1083816,1c3fc9b2-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,9% Tax Credit,01/01/1991,2021-01-01,35,ONE APM PLAZA,2300 N 7TH ST,PHILADELPHIA,PA,,-75.145339,39.98653,JARDINES DE BORINQUEN INC,Non-Profit,,,,,,,,,,35,,Non-programmatic,Acquisition and Rehab,,,,
19,1083816,886810562,,PAA1991500,1083816,1c3fc9b2-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,9% Tax Credit,01/01/1991,2021-01-01,35,ONE APM PLAZA,2300 N 7TH ST,PHILADELPHIA,PA,,-75.145339,39.98653,JARDINES DE BORINQUEN INC,Non-Profit,,,,,,,,,,35,,Non-programmatic,Acquisition and Rehab,,,,
20,1083816,886606200,,PAA1991500,1083816,1c3fc9b2-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,9% Tax Credit,01/01/1991,2021-01-01,35,ONE APM PLAZA,2300 N 7TH ST,PHILADELPHIA,PA,,-75.145339,39.98653,JARDINES DE BORINQUEN INC,Non-Profit,,,,,,,,,,35,,Non-programmatic,Acquisition and Rehab,,,,
21,1128794,886669500,,PAA20171001,1128794,b0179209-e2dc-ea11-8ab3-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2017,2052-01-01,88,2415 NORTH BROAD STREET,2413 N BROAD ST,PHILADELPHIA,PA,19132,-75.155242,39.989757,PROJECT HOME,,,,88,0,0,Family,,,,88,,,New Construction,,,,
22,1128794,886669500,,,1128794,d6036e0c-e3dc-ea11-8ab3-005056ba3ab9,Active,Project Based Vouchers,Project Based Vouchers,,,74,,2413 N BROAD ST,PHILADELPHIA,PA,19132,,,,,,,,,,,,,,74,,,,,,,
23,1128794,886669500,,4175210961,1128794,f9070a53-534b-e911-af29-005056ba3ab9,Active,HOME,HOME,08/13/2018,2038-08-13,88,2415 NORTH BROAD STREET RUTH WILLIAMS HOUSE,2415 N BROAD ST,PHILADELPHIA,PA,19132,-75.155235,39.989784,PROJECT HOME,,,,,,,,,,,88,,,New Construction Only,,,,
24,1084030,886608900,,PAA2021004,1084030,77bb936d-1546-ee11-80c8-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2021,2061-01-01,74,LEHIGH PARK APARTMENTS,2600 N LAWRENCE ST,PHILADELPHIA,PA,19133,-75.139816,39.990432,,,,,3,37,34,Mixed,,,,74,,,Acquisition and Rehab,,,,
25,1084030,886608900,,,1084030,de036e0c-e3dc-ea11-8ab3-005056ba3ab9,Active,Project Based Vouchers,Project Based Vouchers,,,22,,2600 N LAWRENCE ST,PHILADELPHIA,PA,19133,,,,,,,,,,,,,,22,,,,,,,
26,1084030,886608900,,PAA1994175,1084030,bc8ebbbe-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1994,2024-01-01,28,LEHIGH PARK CENTER APARTMENTS,2600 N LAWRENCE ST,PHILADELPHIA,PA,19133,-75.139816,39.990432,HACE MGMT COMPANY,For Profit,,,1,24,4,Family,,,,29,,Non-programmatic,Acquisition and Rehab,373953,,,
27,1084359,886805000,,PAA1998135,1084359,000cb5ca-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1998,2028-01-01,20,HOGAR DEESPERANZA,2203 GERMANTOWN AVE,PHILADELPHIA,PA,19133,-75.143867,39.984905,JARDINES DE BORINQUEN INC,Non-Profit,,,12,8,,Family,,,,20,,,Acquisition and Rehab,172892,,,
28,1083895,162266400,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
29,1083895,162042300,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
30,1083895,131418500,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
31,1083895,131419700,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
32,1083895,161084600,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
33,1083895,161253100,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
34,1083895,161254000,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
35,1083895,451158700,,PAA1992225,1083895,7452c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1992,2022-01-01,1,PYFREM INC,2517 N 18TH ST,PHILADELPHIA,PA,19132,-75.161331,39.992122,TROY BADER,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1833,,,
36,1104341,112000007,,PAA0000261,1104341,a39fb141-d668-e711-806a-005056ba3ab9,Inconclusive,LIHTC,,,,,TIOGA HOUSING IV,1721 W TIOGA ST,PHILADELPHIA,PA,19140,-75.156997,40.006984,,,,,,,,,,,,4,,End Date Missing,,,,,
37,1083575,881054710,,PAA1987245,1083575,94a5e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1987,2002-01-01,53,ALLEGHENY HALL APARTMENTS,1605 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,-75.156166,40.002182,,For Profit,,,,,,,,,,87,,Missing from Subsequent Updates,,,,,
38,1083943,881042313,,PAA1993105,1083943,be53c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1993,2023-01-01,49,EDGEWOOD MANOR APARTMENTS,1501 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,-75.154518,40.001968,REGIS DEVELOPMENT CORP,For Profit,,,12,27,10,Family,,,,49,,Non-programmatic,Acquisition and Rehab,360213,,,
39,1083943,881042313,,PAA1993110,1083943,c253c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1993,2023-01-01,49,EDGEWOOD MANOR APARTMENTS,1501 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,-75.154533,40.001972,,,,,,,,,,,,49,,Missing from Subsequent Updates,,,,,
40,1083943,881042313,,PAA1993115,1083943,c653c2b8-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1993,2023-01-01,49,EDGEWOOD MANOR APARTMENTS,1501 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,-75.154533,40.001972,,,,,,,,,,,,49,,Missing from Subsequent Updates,,,,,
41,1084150,886602600,,,1084150,ba036e0c-e3dc-ea11-8ab3-005056ba3ab9,Active,Project Based Vouchers,Project Based Vouchers,,,35,,1508 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,,,,,,,,,,,,,,35,,,,,,,
42,1084150,886602600,,PAA1996075,1084150,6140bec4-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1996,2026-01-01,56,EDGEWOOD MANOR APARTMENTS II,1508 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,-75.154685,40.001655,INGERMAN GROUP,For Profit,,,4,28,24,Family,,,,56,,,Acquisition and Rehab,631808,,,
43,1084231,881042315,,PAA1996245,1084231,8941bec4-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% and 9% Tax Credit,01/01/1996,2026-01-01,62,ST JOSEPHS HOUSING FOR THE ELDERLY,1515 W ALLEGHENY AVE,PHILADELPHIA,PA,19132,-75.154708,40.001991,FRANKLIN CAPITAL GROUP,Non-Profit,,,62,,,Elderly or disabled,,,,62,,,Acquisition and Rehab,494449,,,
44,1084319,886810334,,PAA1997220,1084319,2943bec4-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1997,2027-01-01,7,TIOGA AFFORDABLE HOUSING ONE,1607 W TIOGA ST,PHILADELPHIA,PA,19140,-75.155387,40.006778,DARRYL MCCORMICK,For Profit,,,7,,,Family,,,,7,,,Acquisition and Rehab,66063,,,
45,1083650,432305400,,PAA1988215,1083650,d8a7e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,3738 N EIGHTH ST,3738 N 8TH ST,PHILADELPHIA,PA,19140,-75.141792,40.008945,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,,,,,
46,1083654,432302400,,PAA1988225,1083654,e8a7e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,3837 N EIGHTH ST,3837 N 8TH ST,PHILADELPHIA,PA,19140,-75.14109,40.010108,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,,,,,
47,1083656,432308900,,PAA1988230,1083656,f0a7e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,3846 N EIGHTH ST,3846 N 8TH ST,PHILADELPHIA,PA,19140,-75.141471,40.010314,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,,,,,
48,1083658,433146700,,PAA1988235,1083658,f8a7e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,3957 N PERCY ST,3957 N PERCY ST,PHILADELPHIA,PA,19140,-75.142784,40.011695,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,,,,,
49,1084292,886609000,,,1084292,e2036e0c-e3dc-ea11-8ab3-005056ba3ab9,Active,Project Based Vouchers,Project Based Vouchers,,,42,,2622 N LAWRENCE ST,PHILADELPHIA,PA,19133,,,,,,,,,,,,,,42,,,,,,,
50,1084292,886609000,,PAA1997135,1084292,a542bec4-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% Tax Credit,01/01/1997,2027-01-01,48,LEHIGH PARK APARTMENTS PHASE II,2622 N LAWRENCE ST,PHILADELPHIA,PA,19133,-75.139671,39.991104,HACE MGMT COMPANY,Non-Profit,,,,22,26,Family,,,,48,,Non-programmatic,Acquisition and Rehab,639706,,,
51,1083735,432091300,,PAA1988380,1083735,c0a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,7TH ST HOUSE,3637 N 7TH ST,PHILADELPHIA,PA,19140,-75.140884,40.007072,SIDNEY SMALL,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
52,1083734,073083900,,PAA1991185,1083734,483dc9b2-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1991,2021-01-01,1,3226 KIP ST,3226 KIP ST,PHILADELPHIA,PA,19134,-75.126144,39.998939,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
53,1083736,072056600,,PAA1991190,1083736,503dc9b2-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1991,2021-01-01,1,3306 N MASCHER ST,3306 N MASCHER ST,PHILADELPHIA,PA,19140,-75.131088,40.000534,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
54,1083738,073076310,,PAA1991195,1083738,583dc9b2-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1991,2021-01-01,1,3329 ELLA ST,3329 ELLA ST,PHILADELPHIA,PA,19134,-75.126037,40.000228,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
55,1105591,886650800,,PAA0000270,1105591,317d3ae3-d668-e711-806a-005056ba3ab9,Inactive,LIHTC,,01/01/2014,2044-01-01,,VENANGO HOUSE APARTMENTS,2112 W VENANGO ST,PHILADELPHIA,PA,19140,-75.163215,40.008987,,,,,,,,,,,,106,,Missing from Subsequent Updates,,,,,
56,1105591,886650800,,PAA20133270,1105591,ee3845f2-3f90-e811-b0ec-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/2013,2043-01-01,106,VENANGO HOUSE APARTMENTS,2112 W VENANGO ST,PHILADELPHIA,PA,19140,-75.163215,40.008987,WINN MANAGED PROPERTIES LLC,,,,84,22,0,Elderly or disabled,,,,106,,,Acquisition and Rehab,,,,
57,1084118,881054644,,PAA1995235,1084118,ad3fbec4-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1995,2025-01-01,31,TIOGA GARDENS,3504 N 18TH ST,PHILADELPHIA,PA,19140,-75.158386,40.007461,PENNROSE PROPERTIES,Non-Profit,,,3,11,17,Family,,,,31,,Non-programmatic,New Construction,420788,,,
58,1084118,112101300,,PAA1995235,1084118,ad3fbec4-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1995,2025-01-01,31,TIOGA GARDENS,3504 N 18TH ST,PHILADELPHIA,PA,19140,-75.158386,40.007461,PENNROSE PROPERTIES,Non-Profit,,,3,11,17,Family,,,,31,,Non-programmatic,New Construction,420788,,,
59,1084118,886602400,,PAA1995235,1084118,ad3fbec4-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,4% and 9% Tax Credit,01/01/1995,2025-01-01,31,TIOGA GARDENS,3504 N 18TH ST,PHILADELPHIA,PA,19140,-75.158386,40.007461,PENNROSE PROPERTIES,Non-Profit,,,3,11,17,Family,,,,31,,Non-programmatic,New Construction,420788,,,
60,1084205,112000005,,PAA1998265,1084205,1c0db5ca-cdff-e611-8115-74d435edc0c2,Active,LIHTC,4% Tax Credit,01/01/1998,2028-01-01,7,TIOGA AFFORDABLE HOUSING TWO,2216 W TIOGA ST,PHILADELPHIA,PA,19140,-75.165443,40.007747,DARRYL MCCORMICK,For Profit,,,2,1,4,Family,,,,7,,,New Construction,70955,,,
61,1083922,422024600,,PAA1989290,1083922,e90fd9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,9% Tax Credit,01/01/1989,2004-01-01,1,402 W RAYMOND ST,402 W RAYMOND ST,PHILADELPHIA,PA,19140,-75.132186,40.020347,JOSEPH W LESSER REAL ESTATE,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,881,,,
62,1083934,422032100,,PAA1989320,1083934,1910d9a6-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,9% Tax Credit,01/01/1989,2004-01-01,1,433 W RAYMOND ST,433 W RAYMOND ST,PHILADELPHIA,PA,19140,-75.132659,40.020736,JOSEPH W LESSER REAL ESTATE,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,651,,,
63,1106847,132281600,,PAA1989505,1106847,78ec9ea2-d768-e711-806a-005056ba3ab9,Inactive,LIHTC,9% Tax Credit,01/01/1989,2004-01-01,1,BOCCELLI 10 HOUSES,1514 RUFFNER ST,PHILADELPHIA,PA,19140,-75.151588,40.017383,,,,,0,1,0,Family,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
64,1107366,132070800,,PAA1989540,1107366,34f0f355-d868-e711-806a-005056ba3ab9,Inactive,LIHTC,9% Tax Credit,01/01/1989,2004-01-01,1,BOCCELLI 10 HOUSES,4255 N HICKS ST,PHILADELPHIA,PA,19140,-75.151245,40.018299,,,,,0,0,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
65,1084051,132090000,,PAA1989660,1084051,3423d2ac-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,9% Tax Credit,01/01/1989,2004-01-01,1,MOFFATT FASY,4234 N SYDENHAM ST,PHILADELPHIA,PA,19140,-75.152229,40.018138,JOSEPH F FASY REAL ESTATE,For Profit,,,,,1,Family,,,,1,,Non-programmatic,Acquisition and Rehab,1604,,,
66,1083660,433111800,,PAA1988240,1083660,00a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4046 N FRANKLIN ST,4046 N FRANKLIN ST,PHILADELPHIA,PA,19140,-75.140167,40.013233,DESREV ASSOC,For Profit,,,,,,,,,,1,,Non-programmatic,,,,,
67,1083664,341182500,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
68,1083664,365077100,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
69,1083664,365065200,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
70,1083664,591121200,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
71,1083664,441182900,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
72,1083664,132291800,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
73,1083664,342278200,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
74,1083664,252271000,,PAA1988255,1083664,10a8e1a0-cdff-e611-8115-74d435edc0c2,Inactive,LIHTC,,01/01/1988,2003-01-01,1,4133 N EIGHTH ST,4133 N 8TH ST,PHILADELPHIA,PA,19140,-75.140121,40.014572,,For Profit,,,,,,,,,,1,,Non-programmatic,Acquisition and Rehab,,,,
